car_name_fixed,city,showroom_name,manufacturing_year,trim,body_type,color,product,invygo_baseprice,starter_fee,sto_contract_length,car_condition,vehicle_category
Creta,Riyadh,Riyadh - Dhahrat Laban - Pickup,"2,026",Fleet,SUV,White,STO,"2,725","3,000",36,NEW,Crossover
Elantra,Riyadh,Riyadh - Al Quds - Pickup,"2,026",Smart,Sedan,Silver,STO,"2,925","1,700",36,NEW,Sedan
Jolion,Riyadh,Riyadh - As Sulimaniyah - Pickup,"2,026",Basic,Hatchback,Gray,STO,"2,650","1,400",36,NEW,Crossover
5,Riyadh,Riyadh - An Nasim Al Gharbi - Pickup,"2,025",STD,Sedan,Silver,STO,"1,975","2,300",36,NEW,Compact
RX5,Riyadh,Riyadh - Al Qirawan,"2,022",STD,SUV,Black,STS,860,,,NEW,Crossover
Sonet,Riyadh,Ritadh - Al Areed,"2,026",LX,SUV,Black,MONTHLY,"3,359",,,NEW,Crossover
Hilux,Riyadh,Riyadh - As Sahabah,"2,026",GL2,Pickup,White,STS,"2,250",,,NEW,Pickup
Elantra,Jeddah,Jeddah - Ar Rabwah - Pickup,"2,026",Smart,Sedan,White,STO,"2,925","1,700",36,NEW,Sedan
Kona,Riyadh,Riyadh - Al Quds - Pickup,"2,026",Smart,Crossover,Black,STO,"3,000","3,300",36,NEW,Crossover
Cityray,Dammam,Dammam - Al Rawdah - Pickup,"2,026",GC,SUV,White,STO,"2,850","1,800",36,NEW,SUV
Grand i10,Riyadh,Riyadh - Al Yarmuk,"2,025",GLS,Sedan,Grey,STS,640,,,NEW,Compact
Sonet,Riyadh,Riyadh - Al Yarmuk,"2,023",LX,Crossover,Silver,MONTHLY,"2,475","2,975",,USED,Crossover
S450,Riyadh,Riyadh - Dhahrat Laban,"2,024",STD,Sedan,Black,MONTHLY,"45,969",,,NEW,Luxury
Grand i10,Riyadh,Riyadh - Qurtubah,"2,025",GLS,Sedan,Silver,MONTHLY,"1,959",,,NEW,Compact
Corolla,Jeddah,Jeddah - Rayaan - Pickup,"2,024",XLI,Sedan,White,MONTHLY,"2,500","2,825",,USED,Sedan
Taurus,Riyadh,Riyadh - As Sulimaniyah - Pickup,"2,025",,Sedan,Black,STO,"4,500","4,950",24,USED,Sedan
Accent,Riyadh,Riyadh - Qurtubah,"2,024",STD,Sedan,Blue,STS,900,,,NEW,Compact
Yukon,Riyadh,Riyadh - Qurtubah,"2,023",STD,SUV,Black,STS,"3,880",,,NEW,SUV
Yaris,Riyadh,Riyadh - As Sulimaniyah - Pickup,"2,026",Y,Sedan,Gray,STO,"2,300","2,500",36,NEW,Compact
Raize,Jeddah,Jeddah - An Nuzhah - Pickup,"2,026",XLE,SUV,Gray,STO,"2,300","2,650",36,NEW,Crossover
Cerato,Jeddah,Jeddah - Ar Rawdah,"2,023",LX,Sedan,White,MONTHLY,"2,369",,,NEW,Compact
Captiva,Riyadh,Riyadh - As Sulimaniyah - Pickup,"2,026",LS,SUV,Black,STO,"3,200","2,350",24,USED,Crossover
Jolion,Jeddah,Jeddah - Palestine,"2,025",Basic,Hatchback,Silver,STS,"1,579",,,NEW,Crossover
Accent,Jeddah,Jeddah - An Nuzhah - Pickup,"2,026",Fleet,Sedan,White,STO,"2,500","1,200",36,NEW,Compact
Cityray,Jeddah,Jeddah - Ar Rabwah - Pickup,"2,026",GC,SUV,Gray,STO,"2,850","3,300",36,NEW,SUV
Elantra,Jeddah,Jeddah - Ar Rabwah - Pickup,"2,026",Smart,Sedan,Gray,STO,"2,925","3,200",36,NEW,Sedan
Accent,Jeddah,Jeddah - Sanabel,"2,026",Fleet,Sedan,White,MONTHLY,"2,569",,,NEW,Compact
Accent,Mecca,Makkah - Alaziziyyah,"2,025",Fleet,Sedan,Grey,STS,810,,,NEW,Compact
Yaris,Riyadh,Riyadh - As Sulimaniyah - Pickup,"2,026",Y,Sedan,White,STO,"2,300","2,500",36,NEW,Compact
6,Al Khobar,Al Khobar -  Al-Thuqbah,"2,022",Full Option,Sedan,Black,MONTHLY,"2,489",,,NEW,Sedan
Defender,Riyadh,Riyadh - Rahmaniyyah,"2,025",STD,SUV,Grey,MONTHLY,"38,049",,,NEW,SUV
GT,Riyadh,Riyadh - Al Falah,"2,024",STD,Sedan,Grey,STS,750,,,NEW,Sedan
Alsvin,Al Khobar,Al Khobar -  Al-Thuqbah,"2,024",STD,Sedan,Black,MONTHLY,"2,059",,,NEW,Sedan
i10,Riyadh,Riyadh - Al Falah,"2,025",STD,Sedan,Grey,MONTHLY,"2,105",,,NEW,Compact
Cerato,Jeddah,Jeddah - Al-Baghdadiyah Al-Gharbiyah,"2,023",LX,Sedan,White,STS,989,,,NEW,Compact
Alsvin,Riyadh,Riyadh - Al Quds,"2,024",STD,Sedan,White,MONTHLY,"1,729",,,NEW,Sedan
Pegas,Riyadh,Ritadh - Al Areed,"2,026",LX,Sedan,White,STS,680,,,NEW,Compact
Accent,Jeddah,Jeddah - An Nuzhah - Pickup,"2,026",Fleet,Sedan,Silver,STO,"2,500","1,200",36,NEW,Compact
Yaris,Riyadh,Riyadh - As Sahabah,"2,026",Y,Sedan,White,STS,750,,,NEW,Compact
Dzire,Riyadh,Riyadh - Al jazirah,"2,026",GL,Sedan,White,STS,770,,,NEW,Sedan
Accent,Jeddah,Jeddah - Ar Rawdah,"2,026",STD,Sedan,Grey,STS,860,,,NEW,Compact
Dzire,Riyadh,فرع القدس - Al-Quds  branch,"2,023",STD,Sedan,Golden,STS,570,,,NEW,Sedan
Sportage,Jeddah,Jeddah - Bani Malik,"2,023",LX,SUV,Silver,MONTHLY,"3,750",,,NEW,Crossover
Corolla,Riyadh,Riyadh - Al Yarmuk,"2,024",STD,Sedan,Black,STS,750,,,NEW,Sedan
Corolla,Riyadh,Riyadh - An Nahdah,"2,024",STD,Sedan,Black,STS,750,,,NEW,Sedan
Pegas,Riyadh,Riyadh - As Sulimaniyah,"2,026",STD,Sedan,Silver,STS,950,,,NEW,Compact
Accent,Riyadh,Riyadh - As Sulimaniyah,"2,026",STD,Sedan,Silver,STS,"1,180",,,NEW,Compact
Pegas,Riyadh,Riyadh - Makah Road,"2,026",LX,Sedan,White,MONTHLY,"1,859",,,NEW,Compact
5,Riyadh,Riyadh - An Nasim Al Gharbi - Pickup,"2,025",STD,Sedan,White,STO,"1,975","2,300",36,NEW,Compact
Accent,Riyadh,Riyadh - As Sahabah,"2,026",Fleet,Sedan,White,STS,870,,,NEW,Compact
Accent,Riyadh,Riyadh - As Sahabah,"2,026",Fleet,Sedan,White,STS,870,,,NEW,Compact
Accent,Dammam,Dammam - Al Rawdah - Pickup,"2,026",Fleet,Sedan,Gray,STO,"2,350","2,600",36,NEW,Compact
Accent,Jeddah,Jeddah - Ar Rabwah - Pickup,"2,026",Fleet,Sedan,Gray,STO,"2,350","2,600",36,NEW,Compact
Elantra,Jeddah,Jeddah - Ar Rabwah - Pickup,"2,026",Smart,Sedan,Silver,STO,"2,925","3,200",36,NEW,Sedan
Creta,Jeddah,Jeddah - Ar Rabwah - Pickup,"2,026",Smart,SUV,White,STO,"2,825","3,100",36,NEW,Crossover
Cityray,Jeddah,Jeddah - Ar Rabwah - Pickup,"2,026",GC,SUV,Gray,STO,"2,850","3,300",36,NEW,SUV
Jolion,Riyadh,Riyadh - As Sulimaniyah - Pickup,"2,026",Basic,Hatchback,Black,STO,"2,650","1,400",36,NEW,Crossover
Jolion,Jeddah,Jeddah - Al Sanabel  - Pickup,"2,026",STD,Hatchback,Gray,STO,"2,650","1,400",36,NEW,Crossover
2008,Riyadh,Riyadh - Al Faisaliyyah - STO - Pickup,"2,023",Active,Crossover,White,MONTHLY,"2,850","3,275",,USED,Crossover
Dzire,Riyadh,Riyadh - Al Wurud,"2,023",GL,Sedan,Grey,STS,742,,,NEW,Sedan
Yaris,Riyadh,Riyadh - As Sulimaniyah - Pickup,"2,026",Y,Sedan,White,STO,"2,300","2,500",36,NEW,Compact
Yaris,Riyadh,Riyadh - As Sulimaniyah - Pickup,"2,026",Y,Sedan,Gray,STO,"2,300","2,500",36,NEW,Compact
Accent,Riyadh,Riyadh - Ghirnatah,"2,024",Fleet,Sedan,Black,STS,859,,,NEW,Compact
Corolla,Riyadh,Riyadh - Al Yarmuk,"2,024",STD,Sedan,Black,STS,750,,,NEW,Sedan
Corolla,Riyadh,Riyadh - Al Yarmuk,"2,024",STD,Sedan,Black,STS,750,,,NEW,Sedan
Corolla,Riyadh,Riyadh - An Nahdah,"2,024",STD,Sedan,Black,STS,750,,,NEW,Sedan
Pegas,Al Khobar,Al Khobar -  Al-Thuqbah,"2,023",LX,Sedan,Beige,MONTHLY,"2,029",,,NEW,Compact
5,Riyadh,Riyadh - An Nasim Al Gharbi - Pickup,"2,025",STD,Sedan,Silver,STO,"1,975","2,300",36,NEW,Compact
Elantra,Jeddah,Jeddah - Palestine,"2,025",Fleet,Sedan,White,MONTHLY,"3,479",,,NEW,Sedan
Accent,Riyadh,Riyadh - King Fahd Rd,"2,024",Smart,Sedan,Grey,MONTHLY,"2,459",,,NEW,Compact
Yaris,Jeddah,Jeddah - Al Nuzha,"2,026",Y,Sedan,White,MONTHLY,"2,389",,,NEW,Compact
Accent,Jeddah,Jeddah - An Nuzhah - Pickup,"2,026",Fleet,Sedan,White,STO,"2,500","1,200",36,NEW,Compact
Accent,Riyadh,Riyadh - As Sahabah,"2,026",Fleet,Sedan,White,STS,870,,,NEW,Compact
Cityray,Riyadh,Riyadh - Al Quds - Pickup,"2,026",GC,SUV,Gray,STO,"2,850","1,800",36,NEW,SUV
Elantra,Riyadh,Riyadh - Al Quds - Pickup,"2,026",Smart,Sedan,Gray,STO,"2,925","3,200",36,NEW,Sedan
Jolion,Jeddah,Jeddah - Al Sanabel  - Pickup,"2,026",STD,Hatchback,Gray,STO,"2,650","1,400",36,NEW,Crossover
Dzire,Riyadh,Riyadh - King Fahd,"2,023",GL,Sedan,Silver,MONTHLY,"2,459",,,NEW,Sedan
Dzire,Riyadh,Riyadh - King Fahd,"2,023",GL,Sedan,Silver,MONTHLY,"2,459",,,NEW,Sedan
Pegas,Dammam,Dammam - Al Itisalat,"2,024",LX,Sedan,Grey,MONTHLY,"2,179",,,NEW,Compact
Pegas,Dammam,Dammam - Al Itisalat,"2,024",LX,Sedan,Grey,MONTHLY,"2,149",,,NEW,Compact
Sunny,Dammam,Dammam - Al Itisalat,"2,023",S,Sedan,Black,STS,929,,,NEW,Compact
Sunny,Jeddah,Jeddah - Bani Malik,"2,022",Classic,Sedan,Silver,MONTHLY,"2,339",,,NEW,Compact
Corolla,Riyadh,Riyadh - King Abdul Aziz,"2,023",XLI,Sedan,White,MONTHLY,"3,569",,,NEW,Sedan
Kicks,Dammam,Dammam - Al Itisalat,"2,024",S,SUV,Blue,MONTHLY,"3,079",,,NEW,Crossover
Grand i10,Riyadh,Riyadh - An Nahdah,"2,025",GLS,Sedan,Grey,MONTHLY,"1,919",,,NEW,Compact
Accent,Riyadh,Riyadh - Al Yarmuk,"2,025",Fleet,Sedan,Grey,MONTHLY,"3,079",,,NEW,Compact
Pegas,Al Khobar,Khobar -  King Abdullah Branch Road,"2,025",LX,Sedan,Gold,STS,779,,,NEW,Compact
Corolla,Al Khobar,Khobar -  King Abdullah Branch Road,"2,024",XLI,Sedan,White,STS,"1,249",,,NEW,Sedan
i10,Al Khobar,Khobar -  King Abdullah Branch Road,"2,024",MPI,Sedan,White,STS,779,,,NEW,Compact
i10,Al Khobar,Khobar -  King Abdullah Branch Road,"2,024",MPI,Sedan,White,STS,779,,,NEW,Compact
Yaris,Riyadh,Riyadh - Dhahrat Laban,"2,023",Y,Sedan,Silver,STS,889,,,NEW,Compact
Sunny,Dammam,Dammam - Al Itisalat,"2,024",SV,Sedan,Grey,MONTHLY,"2,399",,,NEW,Compact
Sunny,Dammam,Dammam - Al Itisalat,"2,024",SV,Sedan,Grey,MONTHLY,"2,399",,,NEW,Compact
Sunny,Dammam,Dammam - Al Itisalat,"2,024",S,Sedan,Silver,STS,"1,049",,,NEW,Compact
Sunny,Al Khobar,Al Khobar -  Al-Thuqbah,"2,024",S,Sedan,Silver,STS,"1,049",,,NEW,Compact
Sunny,Al Khobar,Al Khobar -  Al-Thuqbah,"2,024",S,Sedan,Silver,STS,"1,049",,,NEW,Compact
Dzire,Riyadh,Riyadh - An Nahdah,"2,023",GL,Sedan,Grey,STS,742,,,NEW,Sedan
Dzire,Riyadh,Riyadh - Qurtubah,"2,023",GL,Sedan,Grey,STS,639,,,NEW,Sedan
Dzire,Riyadh,Riyadh - Qurtubah,"2,023",GL,Sedan,Grey,STS,742,,,NEW,Sedan
Dzire,Riyadh,Riyadh - An Nahdah,"2,023",GL,Sedan,Grey,STS,639,,,NEW,Sedan
Yaris,Jeddah,Jeddah - Ar Rawdah,"2,023",Y,Sedan,White,MONTHLY,"2,439",,,NEW,Compact
Accent,Jeddah,Jeddah - Ar Rawdah,"2,023",Smart Plus,Sedan,White,MONTHLY,"2,459",,,NEW,Compact
Yukon,Riyadh,Riyadh - Qurtubah,"2,023",STD,SUV,Black,STS,"3,880",,,NEW,SUV
Kicks,Dammam,Dammam - Al Itisalat,"2,024",S,SUV,Blue,STS,"1,939",,,NEW,Crossover
Kicks,Dammam,Dammam - Al Itisalat,"2,024",S,SUV,Silver,STS,"1,939",,,NEW,Crossover
500,Dammam,Dammam - Al Itisalat,"2,024",STD,Hatchback,Grey,MONTHLY,"4,389",,,NEW,Compact
Accent,Dammam,Dammam - Al Itisalat,"2,023",Smart Plus,Sedan,Grey,STS,"1,169",,,NEW,Compact
Alsvin,Dammam,Dammam - Al Itisalat,"2,023",STD,Sedan,White,MONTHLY,"1,889",,,NEW,Sedan
Alsvin,Dammam,Dammam - Al Itisalat,"2,023",STD,Sedan,Silver,MONTHLY,"1,889",,,NEW,Sedan
Alsvin,Dammam,Dammam - Al Itisalat,"2,023",STD,Sedan,Silver,MONTHLY,"1,889",,,NEW,Sedan
Alsvin,Dammam,Dammam - Al Itisalat,"2,024",STD,Sedan,Silver,STS,"1,009",,,NEW,Sedan
Grand Creta,Riyadh,Riyadh - Qurtubah,"2,024",STD,SUV,Black,MONTHLY,"4,269",,,NEW,SUV
Sunny,Al Khobar,Al Khobar -  Al-Thuqbah,"2,024",S,Sedan,Silver,MONTHLY,"2,129",,,NEW,Compact
Pegas,Riyadh,Riyadh - An Nahdah,"2,026",STD,Sedan,Grey,STS,600,,,NEW,Compact
Pegas,Riyadh,Riyadh - An Nahdah,"2,026",STD,Sedan,Grey,STS,600,,,NEW,Compact
Pegas,Riyadh,Riyadh - An Nahdah,"2,026",STD,Sedan,Grey,STS,600,,,NEW,Compact
Yaris,Dammam,Riyadh - Tuwaiq,"2,026",STD,Sedan,Grey,STS,"1,040",,,NEW,Compact
Escalade,Jeddah,Jeddah - Madina Al-Munawarah,"2,025",Full,SUV,Black,MONTHLY,"48,449",,,NEW,SUV
520,Jeddah,Jeddah - Madina Al-Munawarah,"2,026",STD,Sedan,Silver,MONTHLY,"23,849",,,NEW,Sedan
520,Riyadh,Riyadh - Rahmaniyyah,"2,026",STD,Sedan,White,MONTHLY,"23,639",,,NEW,Sedan
Veloz,Riyadh,Riyadh - Al Yarmuk,"2,023",STD,SUV,White,STS,"1,500",,,NEW,Crossover
Veloz,Riyadh,Riyadh - Al Yarmuk,"2,023",STD,SUV,White,STS,"1,500",,,NEW,Crossover
Veloz,Riyadh,Riyadh - Al Yarmuk,"2,023",STD,SUV,White,STS,"1,500",,,NEW,Crossover
HS,Riyadh,Riyadh - Al Yarmuk,"2,023",STD,SUV,White,STS,"1,190",,,NEW,Crossover
HS,Riyadh,Riyadh - An Nahdah,"2,023",STD,SUV,White,STS,"1,190",,,NEW,Crossover
HS,Riyadh,Riyadh - An Nahdah,"2,023",STD,SUV,White,STS,"1,190",,,NEW,Crossover
HS,Riyadh,Riyadh - Al Falah,"2,023",STD,SUV,White,STS,"1,190",,,NEW,Crossover
HS,Riyadh,Riyadh - Al Falah,"2,023",STD,SUV,White,STS,"1,190",,,NEW,Crossover
HS,Riyadh,Riyadh - Al Falah,"2,023",STD,SUV,White,STS,"1,190",,,NEW,Crossover
Sunny,Riyadh,Riyadh - Al Yarmuk,"2,024",STD,Sedan,Silver,STS,600,,,NEW,Compact
Sunny,Riyadh,Riyadh - An Nahdah,"2,024",STD,Sedan,White,STS,600,,,NEW,Compact
Sunny,Riyadh,Riyadh - Al Falah,"2,024",STD,Sedan,White,STS,600,,,NEW,Compact
Sunny,Riyadh,Riyadh - Al Falah,"2,024",STD,Sedan,White,STS,600,,,NEW,Compact
Sunny,Riyadh,Riyadh - Al Falah,"2,024",STD,Sedan,White,STS,600,,,NEW,Compact
RX5,Riyadh,Riyadh - Al Yarmuk,"2,023",STD,SUV,White,MONTHLY,"3,469",,,NEW,Crossover
RX5,Riyadh,Riyadh - Al Yarmuk,"2,023",STD,SUV,White,MONTHLY,"3,469",,,NEW,Crossover
RX5,Riyadh,Riyadh - Al Yarmuk,"2,023",STD,SUV,White,MONTHLY,"3,469",,,NEW,Crossover
RX5,Riyadh,Riyadh - Al Yarmuk,"2,023",STD,SUV,White,MONTHLY,"3,469",,,NEW,Crossover
RX5,Riyadh,Riyadh - Al Yarmuk,"2,023",STD,SUV,White,MONTHLY,"3,469",,,NEW,Crossover
City,Riyadh,Riyadh - Al Yarmuk,"2,024",STD,Sedan,White,STS,750,,,NEW,Compact
City,Riyadh,Riyadh - Al Yarmuk,"2,024",STD,Sedan,White,STS,750,,,NEW,Compact
GT,Riyadh,Riyadh - Al Yarmuk,"2,024",STD,Sedan,Graphite,MONTHLY,"3,079",,,NEW,Sedan
GT,Riyadh,Riyadh - Al Yarmuk,"2,024",STD,Sedan,Graphite,MONTHLY,"3,079",,,NEW,Sedan
GT,Riyadh,Riyadh - Al Yarmuk,"2,024",STD,Sedan,Graphite,MONTHLY,"3,079",,,NEW,Sedan
GT,Riyadh,Riyadh - Al Yarmuk,"2,024",STD,Sedan,Graphite,MONTHLY,"3,079",,,NEW,Sedan
GT,Riyadh,Riyadh - An Nahdah,"2,024",STD,Sedan,Grey,MONTHLY,"3,079",,,NEW,Sedan
GT,Riyadh,Riyadh - An Nahdah,"2,024",STD,Sedan,Grey,MONTHLY,"3,079",,,NEW,Sedan
GT,Riyadh,Riyadh - An Nahdah,"2,024",STD,Sedan,Grey,MONTHLY,"3,079",,,NEW,Sedan
Corolla,Riyadh,Riyadh - Al Yarmuk,"2,024",STD,Sedan,Black,STS,750,,,NEW,Sedan
RX5,Riyadh,Riyadh - An Nahdah,"2,023",STD,SUV,White,MONTHLY,"3,469",,,NEW,Crossover
RX5,Riyadh,Riyadh - Al Falah,"2,023",STD,SUV,White,MONTHLY,"3,469",,,NEW,Crossover
Accent,Dammam,Dammam - Al Itisalat,"2,023",Smart Plus,Sedan,Silver,MONTHLY,"2,419",,,NEW,Compact
Eado,Dammam,Dammam - Al Itisalat,"2,023",Plus,Sedan,Silver,MONTHLY,"2,289",,,NEW,Sedan
Pegas,Dammam,Dammam - Al Itisalat,"2,023",LX,Sedan,Silver,MONTHLY,"1,959",,,NEW,Compact
Alsvin,Dammam,Dammam - Al Itisalat,"2,023",STD,Sedan,White,MONTHLY,"1,889",,,NEW,Sedan
Alsvin,Dammam,Dammam - Al Itisalat,"2,023",STD,Sedan,White,MONTHLY,"1,889",,,NEW,Sedan
Alsvin,Dammam,Dammam - Al Itisalat,"2,024",STD,Sedan,White,STS,"1,009",,,NEW,Sedan
Macan,Jeddah,Jeddah - Madina Al-Munawarah,"2,026",Full,SUV,Black,STS,,,,NEW,Crossover
Accent,Al Khobar,Al Khobar -  Al-Thuqbah,"2,023",Smart Plus,Sedan,White,MONTHLY,"2,419",,,NEW,Compact
Accent,Al Khobar,Al Khobar -  Al-Thuqbah,"2,023",Smart Plus,Sedan,White,MONTHLY,"2,419",,,NEW,Compact
Accent,Dammam,Dammam - Al Itisalat,"2,023",Smart Plus,Sedan,Silver,STS,"1,169",,,NEW,Compact
Accent,Dammam,Dammam - Al Itisalat,"2,023",Smart Plus,Sedan,Silver,STS,"1,169",,,NEW,Compact
Accent,Al Khobar,Al Khobar -  Al-Thuqbah,"2,023",Smart Plus,Sedan,White,STS,"1,169",,,NEW,Compact
Accent,Al Khobar,Al Khobar -  Al-Thuqbah,"2,023",Smart Plus,Sedan,White,STS,"1,169",,,NEW,Compact
Accent,Al Khobar,Al Khobar -  Al-Thuqbah,"2,023",Smart Plus,Sedan,White,STS,"1,169",,,NEW,Compact
Accent,Al Khobar,Al Khobar -  Al-Thuqbah,"2,024",Smart,Sedan,Grey,STS,"1,279",,,NEW,Compact
Accent,Al Khobar,Al Khobar -  Al-Thuqbah,"2,024",Smart,Sedan,Grey,STS,"1,279",,,NEW,Compact
Accent,Dammam,Dammam - Al Itisalat,"2,024",Smart,Sedan,Silver,STS,"1,279",,,NEW,Compact
Accent,Dammam,Dammam - Al Itisalat,"2,024",Smart,Sedan,Silver,STS,"1,279",,,NEW,Compact
Accent,Al Khobar,Al Khobar -  Al-Thuqbah,"2,024",Smart,Sedan,Silver,STS,"1,279",,,NEW,Compact
Alsvin,Al Khobar,Al Khobar -  Al-Thuqbah,"2,024",STD,Sedan,Black,MONTHLY,"2,059",,,NEW,Sedan
Alsvin,Al Khobar,Al Khobar -  Al-Thuqbah,"2,024",STD,Sedan,Black,MONTHLY,"2,059",,,NEW,Sedan
Alsvin,Dammam,Dammam - Al Itisalat,"2,024",STD,Sedan,Silver,MONTHLY,"2,059",,,NEW,Sedan
Alsvin,Dammam,Dammam - Al Itisalat,"2,024",STD,Sedan,White,STS,"1,009",,,NEW,Sedan
Alsvin,Al Khobar,Al Khobar -  Al-Thuqbah,"2,024",STD,Sedan,White,MONTHLY,"2,039",,,NEW,Sedan
Alsvin,Al Khobar,Al Khobar -  Al-Thuqbah,"2,023",STD,Sedan,Silver,MONTHLY,"1,879",,,NEW,Sedan
Alsvin,Dammam,Dammam - Al Itisalat,"2,023",STD,Sedan,White,MONTHLY,"1,889",,,NEW,Sedan
Alsvin,Al Khobar,Al Khobar -  Al-Thuqbah,"2,023",STD,Sedan,White,MONTHLY,"1,839",,,NEW,Sedan
Pegas,Dammam,Dammam - Al Itisalat,"2,024",LX,Sedan,Grey,MONTHLY,"2,179",,,NEW,Compact
Pegas,Al Khobar,Al Khobar -  Al-Thuqbah,"2,024",LX,Sedan,Grey,MONTHLY,"2,219",,,NEW,Compact
Pegas,Dammam,Dammam - Al Itisalat,"2,023",LX,Sedan,Silver,STS,969,,,NEW,Compact
Pegas,Al Khobar,Al Khobar -  Al-Thuqbah,"2,023",LX,Sedan,Grey,STS,969,,,NEW,Compact
Pegas,Jeddah,Jeddah - King Abdulaziz International Airport,"2,026",LX,Sedan,White,STS,,,,NEW,Compact
500,Al Khobar,Al Khobar -  Al-Thuqbah,"2,024",STD,Hatchback,Blue,MONTHLY,"4,389",,,NEW,Compact
Sunny,Dammam,Dammam - Al Itisalat,"2,023",S,Sedan,Black,STS,929,,,NEW,Compact
Sunny,Dammam,Dammam - Al Itisalat,"2,023",S,Sedan,Black,STS,929,,,NEW,Compact
Sunny,Dammam,Dammam - Al Itisalat,"2,024",S,Sedan,Silver,MONTHLY,"2,129",,,NEW,Compact
Sunny,Al Khobar,Al Khobar -  Al-Thuqbah,"2,024",S,Sedan,Silver,MONTHLY,"2,119",,,NEW,Compact
Sunny,Dammam,Dammam - Al Itisalat,"2,024",SV,Sedan,Grey,MONTHLY,"2,399",,,NEW,Compact
Sunny,Al Khobar,Al Khobar -  Al-Thuqbah,"2,024",SV,Sedan,Grey,MONTHLY,"2,349",,,NEW,Compact
Sunny,Al Khobar,Al Khobar -  Al-Thuqbah,"2,024",SV,Sedan,Silver,MONTHLY,"2,349",,,NEW,Compact
Sunny,Dammam,Dammam - Al Itisalat,"2,024",S,Sedan,Silver,STS,"1,049",,,NEW,Compact
Kicks,Dammam,Dammam - Al Itisalat,"2,024",S,SUV,Blue,MONTHLY,"3,079",,,NEW,Crossover
Sunny,Riyadh,Daily Riyadh - Al Aqiq,"2,022",Classic,Sedan,White,STS,700,,,NEW,Compact
Alsvin,Dammam,Dammam - Al Itisalat,"2,023",STD,Sedan,Silver,STS,969,,,NEW,Sedan
Alsvin,Dammam,Dammam - Al Itisalat,"2,023",STD,Sedan,Red,STS,969,,,NEW,Sedan
Alsvin,Dammam,Dammam - Al Itisalat,"2,023",STD,Sedan,Silver,STS,969,,,NEW,Sedan
Alsvin,Al Khobar,Al Khobar -  Al-Thuqbah,"2,023",STD,Sedan,Silver,STS,969,,,NEW,Sedan
Alsvin,Al Khobar,Al Khobar -  Al-Thuqbah,"2,023",STD,Sedan,White,STS,969,,,NEW,Sedan
Alsvin,Dammam,Dammam - Al Itisalat,"2,023",STD,Sedan,White,STS,969,,,NEW,Sedan
Alsvin,Dammam,Dammam - Al Itisalat,"2,024",STD,Sedan,Black,STS,"1,009",,,NEW,Sedan
Alsvin,Al Khobar,Al Khobar -  Al-Thuqbah,"2,024",STD,Sedan,Black,STS,"1,009",,,NEW,Sedan
Alsvin,Dammam,Dammam - Al Itisalat,"2,024",STD,Sedan,White,STS,"1,009",,,NEW,Sedan
Alsvin,Al Khobar,Al Khobar -  Al-Thuqbah,"2,024",STD,Sedan,White,STS,"1,009",,,NEW,Sedan
Pegas,Al Khobar,Al Khobar -  Al-Thuqbah,"2,024",LX,Sedan,Grey,STS,"1,009",,,NEW,Compact
Pegas,Al Khobar,Al Khobar -  Al-Thuqbah,"2,024",LX,Sedan,Grey,STS,"1,009",,,NEW,Compact
Pegas,Dammam,Dammam - Al Itisalat,"2,024",LX,Sedan,Grey,MONTHLY,"2,149",,,NEW,Compact
Pegas,Al Khobar,Al Khobar -  Al-Thuqbah,"2,024",LX,Sedan,Grey,STS,"1,009",,,NEW,Compact
Pegas,Al Khobar,Al Khobar -  Al-Thuqbah,"2,023",LX,Sedan,Beige,MONTHLY,"2,019",,,NEW,Compact
Pegas,Dammam,Dammam - Al Itisalat,"2,023",LX,Sedan,Beige,STS,969,,,NEW,Compact
Eado,Al Khobar,Al Khobar -  Al-Thuqbah,"2,023",Plus,Sedan,White,MONTHLY,"2,289",,,NEW,Sedan
Accent,Jeddah,Jeddah - Al Fayhaa,"2,026",Fleet,Sedan,White,MONTHLY,"3,179",,,NEW,Compact
520,Riyadh,Riyadh - As Sulimaniyah,"2,024",STD,Sedan,Black,MONTHLY,"16,719",,,NEW,Sedan
i10,Riyadh,Daily Riyadh - Al Aqiq,"2,026",MPI,Sedan,Silver,MONTHLY,"2,039",,,NEW,Compact
Accent,Riyadh,Daily Riyadh - Al Aqiq,"2,026",Fleet,Sedan,White,STS,,,,NEW,Compact
Accent,Riyadh,Daily Riyadh - Al Aqiq,"2,026",Fleet,Sedan,White,STS,,,,NEW,Compact
Emgrand,Riyadh,Daily Riyadh - Al Aqiq,"2,026",STD,Sedan,Black,STS,,,,NEW,Sedan
Coolray,Riyadh,Daily Riyadh - Al Aqiq,"2,026",GS,Crossover,Grey,STS,,,,NEW,Crossover
Yaris,Riyadh,Riyadh - Al Yarmuk,"2,026",STD,Sedan,White,MONTHLY,"2,429",,,NEW,Compact
Yaris,Riyadh,Riyadh - Al Yarmuk,"2,026",STD,Sedan,Grey,MONTHLY,"2,429",,,NEW,Compact
Pegas,Riyadh,Riyadh - Al Masiaf 2,"2,024",STD,Sedan,White,MONTHLY,"1,859",,,NEW,Compact
Pegas,Riyadh,Riyadh - Qurtubah,"2,024",STD,Sedan,Grey,MONTHLY,"1,819",,,NEW,Compact
Sunny,Riyadh,Riyadh - Sulimaniyah,"2,024",S,Sedan,Silver,STS,"1,179",,,NEW,Compact
